Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
1,ii,13700,0.36,5,5,1.0,0.9941650706665005,11.154015779112127,0.07775914007958239,0.041666666666666664,24,0.041666666666666664
1,ii,13927,0.189,5,5,1.0,0.9921420224356429,16.531086967542706,0.30008372237821507,1.0,1,1.0
1,ii,14328,0.319,5,5,1.0,0.9628127090146444,11.350410409469312,0.0,0.0,,0.0
1,ii,14382,0.332,5,5,1.0,0.9953253205355941,13.93867750007543,0.10320690069372097,0.09090909090909091,11,0.09090909090909091
1,ii,15324,0.315,5,5,1.0,0.9476595840503902,9.75028381172028,0.0,0.0,,0.0
1,ii,16126,0.391,5,5,1.0,0.9770709631333402,12.800030616222216,0.0,0.0,,0.0
1,ii,16472,0.31,5,5,1.0,0.9337324869820054,13.66524229750988,0.0,0.0,,0.0
1,ii,16539,0.23800000000000002,5,5,1.0,0.9749597115281078,14.369987046893984,0.0,0.0,,0.0
1,ii,16883,0.28800000000000003,5,5,1.0,1.0,14.465622090756977,0.15554118487843469,0.25,4,0.25
1,ii,18115,0.456,5,5,1.0,0.9312712626742651,14.91524229750988,0.0,0.0,,0.0
1,ii,19517,0.229,5,5,1.0,0.9348621609314242,11.984565739436487,0.0,0.0,,0.0
1,ii,20028,0.394,5,5,1.0,0.8340077781159151,8.792662662965341,0.11210857687966001,0.07142857142857142,14,0.07142857142857142
1,ii,21401,0.23500000000000001,5,5,1.0,0.9763125270477154,14.430960369793672,0.0,0.0,,0.0
1,ii,21413,0.379,5,5,1.0,0.9518172871084697,14.815748688506009,0.0,0.0,,0.0
1,ii,22338,0.383,5,5,1.0,1.0,14.031086967542706,0.0,0.0,,0.0
1,ii,23068,0.562,5,5,1.0,0.9546422014717602,12.381213565291738,0.0,0.0,,0.0
1,ii,23638,0.509,5,5,1.0,0.9618444950291573,12.60426897461019,0.0,0.0,,0.0
1,ii,25411,0.533,5,5,1.0,0.9976146505047608,14.4964252465794,0.0,0.0,,0.0
1,ii,26172,0.387,5,5,1.0,0.9707186313484748,12.235198728181647,0.0,0.0,,0.0
1,ii,26674,0.404,5,5,1.0,0.9928639457526953,13.930960369793672,0.0,0.0,,0.0
1,ii,27142,0.216,5,5,1.0,0.9276559670966892,13.711763525616098,0.0,0.0,,0.0
1,ii,27242,0.704,5,5,1.0,0.9867864730969339,13.781086967542706,0.0,0.0,,0.0
1,ii,27456,0.28500000000000003,5,5,1.0,0.9892098579397847,15.180960369793672,0.0,0.0,,0.0
1,ii,28176,0.309,5,5,1.0,1.0,15.2464252465794,0.0,0.0,,0.0
1,ii,30631,0.352,5,5,1.0,0.94421472057122,13.281086967542706,0.04714958322228863,0.043478260869565216,23,0.043478260869565216
1,ii,33173,0.224,5,5,1.0,1.0,13.635072130432615,0.0,0.0,,0.0
1,ii,33871,0.254,5,5,1.0,1.0,16.096551844328435,0.11064704744001759,0.14285714285714285,7,0.14285714285714285
1,ii,34494,0.378,5,5,1.0,0.9788601136252961,13.180960369793672,0.0,0.0,,0.0
1,ii,34664,0.23800000000000002,5,5,1.0,1.0,12.989057293322526,0.0,0.0,,0.0
1,ii,35227,0.376,5,5,1.0,0.9684775596549144,13.350410409469312,0.0,0.0,,0.0
1,ii,35246,0.373,5,5,1.0,1.0,12.254142376861159,0.0,0.0,,0.0
1,ii,35613,0.309,5,5,1.0,0.9417622229451782,11.069607253646886,0.0,0.0,,0.0
1,ii,36665,0.209,5,5,1.0,0.9772275793693257,12.215622090756977,0.0,0.0,,0.0
1,ii,36727,0.357,5,5,1.0,0.9919702672058219,12.369354058148824,0.0,0.0,,0.0
1,ii,38256,0.17300000000000001,5,5,1.0,0.9398594462835703,11.781086967542706,0.0,0.0,,0.0
1,ii,38605,0.364,5,5,1.0,1.0,13.35426897461019,0.07349479898906568,0.041666666666666664,24,0.041666666666666664
1,ii,39061,0.28200000000000003,5,5,1.0,0.9759569785703663,14.98134016304077,0.0,0.0,,0.0
