Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,18758,0.129,5,5,1.0,0.4719471870697821,1.0,14.781086967542706,0.0,0.0,,0.0
5,lucene,,19178,0.06,5,5,1.0,0.8671516684070152,0.9672376237970814,16.80803155822425,0.0,0.0,,0.0
5,lucene,,19517,0.076,5,5,1.0,0.8077044924895488,0.9909882200955716,15.2464252465794,0.0,0.0,,0.0
5,lucene,,19800,0.14400000000000002,5,4,0.8,0.40561228392278986,0.8656885093767726,11.77371901428583,0.0,0.0,,0.0
5,lucene,,20530,0.41500000000000004,5,5,1.0,0.19336127917680657,1.0,12.25028381172028,0.0,0.0,,0.0
5,lucene,,22363,0.128,5,5,1.0,0.782471906504318,0.8577689632645539,3.9425360652163075,0.0,0.0,,0.0
5,lucene,,23171,0.11800000000000001,5,5,1.0,0.2044746244748176,1.0,9.404015779112127,0.0,0.0,,0.0
5,lucene,,25645,0.08700000000000001,5,5,1.0,0.39773599786625563,0.9877231018879242,14.846551844328435,0.0,0.0,,0.0
5,lucene,,26932,0.111,5,5,1.0,0.9704020179293213,0.9361081402061724,12.234565739436487,0.07838920475979964,0.047619047619047616,21,0.047619047619047616
5,lucene,,27456,0.08700000000000001,5,5,1.0,0.2501578254189401,0.9839351134072948,15.31189012336513,0.0,0.0,,0.0
5,lucene,,27474,0.053,5,4,0.8,1.8430900304850757,0.7003654556669565,8.630929753571458,0.0,0.0,,0.0
5,lucene,,27579,0.051000000000000004,5,5,1.0,0.4180870584173739,1.0,13.885072130432615,0.1620445309080218,0.25,4,0.25
5,lucene,,27838,0.11,5,5,1.0,0.37990835047215393,0.9975296481987828,13.9964252465794,0.0,0.0,,0.0
5,lucene,,29474,0.085,5,5,1.0,0.6088243019670706,0.9921471083132289,12.65015721397125,0.0,0.0,,0.0
5,lucene,,31273,0.186,5,5,1.0,0.582399249506262,0.9877934142569617,13.40015721397125,0.0,0.0,,0.0
5,lucene,,31321,0.196,5,5,1.0,0.9059320747236423,0.9196948315155846,12.2464252465794,0.0,0.0,,0.0
5,lucene,,31362,0.124,5,5,1.0,0.30294097395116426,0.9870783558959012,14.096551844328435,0.0,0.0,,0.0
5,lucene,,32215,0.098,5,5,1.0,0.9935828508701944,0.954529601439396,14.369987046893984,0.0,0.0,,0.0
5,lucene,,33003,0.122,5,5,1.0,0.6605053962878931,0.9502182058451438,14.315748688506009,0.0,0.0,,0.0
5,lucene,,33173,0.064,5,5,1.0,0.9592654066457026,0.9395852701642028,13.516001884004073,0.0,0.0,,0.0
5,lucene,,34239,0.07200000000000001,5,5,1.0,0.6381015120460265,0.9867758426183791,13.769860449144952,0.10786206901725627,0.1,10,0.1
5,lucene,,35246,0.133,5,5,1.0,0.6971710472397555,0.9615730899668752,14.2464252465794,0.0,0.0,,0.0
5,lucene,,35983,0.09,5,5,1.0,0.6976061525138558,0.9672376237970814,16.80803155822425,0.0,0.0,,0.0
5,lucene,,36229,0.08600000000000001,5,5,1.0,0.29523009312062914,1.0,12.965622090756977,0.0,0.0,,0.0
5,lucene,,36628,0.116,5,5,1.0,0.6420025598050727,0.9584543196608462,11.534945532683583,0.0,0.0,,0.0
5,lucene,,36724,0.066,5,5,1.0,0.763280216292481,1.0,12.669733851395918,0.0,0.0,,0.0
5,lucene,,38052,0.046,5,4,0.8,0.5485688164889034,0.907714036972696,12.7082541375001,0.0,0.0,,0.0
